K_ENTIDAD_MUNICIPIO,PO2SM,IM,GM
01001,31.13,-1.676,Muy bajo
01005,33.77,-1.256,Muy bajo
01003,61.95,-0.698,Bajo
01007,43.44,-1.045,Bajo
01006,41.48,-1.129,Muy bajo
01002,52.76,-0.565,Bajo
01011,35.49,-1.156,Muy bajo
01009,49.39,-0.595,Bajo
01010,48.8,-0.614,Bajo
01004,49.79,-0.674,Bajo
01008,44.93,-0.735,Bajo
02004,20.47,-1.708,Muy bajo
02002,23.09,-1.648,Muy bajo
02001,29.63,-1.323,Muy bajo
02003,25.36,-1.408,Muy bajo
02005,25.72,-1.463,Muy bajo
03008,17.32,-1.296,Muy bajo
03003,22.24,-1.658,Muy bajo
03001,40.1,-1.017,Bajo
03002,28.16,-1.051,Bajo
03009,27.46,-1.345,Muy bajo
04002,38.21,-1.281,Muy bajo
04003,22.42,-1.186,Muy bajo
04004,56.78,-0.159,Medio
04009,58.84,-0.174,Medio
04001,54.47,-0.248,Medio
04011,60.34,0.769,Alto
04006,66.58,0.361,Alto
04005,51.36,-0.291,Medio
04010,44.78,0.706,Alto
04008,63.63,-0.133,Medio
04007,59.81,0.164,Alto
05030,17.01,-1.823,Muy bajo
05035,31.8,-1.722,Muy bajo
05018,17.88,-1.836,Muy bajo
05025,31.7,-1.531,Muy bajo
05002,44.27,-1.353,Muy bajo
05017,42.72,-1.098,Muy bajo
05033,56.32,-0.823,Bajo
05027,16.54,-1.73,Muy bajo
05010,19.27,-1.663,Muy bajo
05020,33.15,-1.34,Muy bajo
05028,23.73,-1.678,Muy bajo
05009,44.71,-1.021,Bajo
05024,54.54,-0.972,Bajo
05032,29.36,-1.61,Muy bajo
05022,30.23,-1.401,Muy bajo
05006,24.76,-1.484,Muy bajo
05031,21.91,-1.76,Muy bajo
05004,40.11,-0.849,Bajo
05003,28.02,-1.6,Muy bajo
05036,57.4,-0.38,Medio
05007,41.16,-0.992,Bajo
05038,40.06,-1.261,Muy bajo
05011,38.4,-0.624,Bajo
05023,33.26,-0.757,Bajo
05014,54.8,-0.448,Medio
05019,33.02,-1.427,Muy bajo
05034,21.19,-1.014,Bajo
05021,30.49,-1.106,Muy bajo
05037,46.93,-1.186,Muy bajo
05026,32.39,-0.819,Bajo
05008,36.43,-0.773,Bajo
05029,31.71,-1.077,Muy bajo
05016,40.63,-1.012,Bajo
05005,43.54,-0.647,Bajo
05012,40.82,-0.673,Bajo
05015,32.89,-0.958,Bajo
05013,21.86,-0.796,Bajo
05001,43.35,-1.184,Muy bajo
06007,22.39,-1.509,Muy bajo
06002,27.82,-1.595,Muy bajo
06010,24.88,-1.801,Muy bajo
06009,46.58,-0.716,Bajo
06005,35.19,-1.285,Muy bajo
06001,55.33,-0.481,Medio
06003,43.61,-0.873,Bajo
06004,39.65,-0.952,Bajo
06008,33.78,-0.762,Bajo
06006,62.42,-0.261,Medio
07101,35.65,-1.29,Muy bajo
07089,53.34,-0.577,Bajo
07059,62.96,1.417,Muy alto
07078,56.28,-0.729,Bajo
07019,62.25,-0.235,Medio
07031,75.04,2.238,Muy alto
07052,81.13,1.393,Muy alto
07065,63.26,0.475,Alto
07108,70.21,0.205,Alto
07027,52.39,-0.198,Medio
07061,64.37,0.379,Alto
07097,65.01,-0.028,Medio
07023,85.33,1.993,Muy alto
07017,65.75,0.004,Medio
07107,79.99,0.772,Alto
07096,82.29,1.589,Muy alto
07099,71.53,0.681,Alto
07034,76.66,0.336,Alto
07057,62.96,0.258,Alto
07106,79.9,0.851,Alto
07077,82.11,1.484,Muy alto
07040,67.45,0.141,Alto
07069,70.55,0.51,Alto
07012,57.02,0.152,Alto
07064,56.77,2.078,Muy alto
07051,66.85,0.249,Alto
07020,79.38,1.063,Alto
07015,71.42,0.092,Alto
07074,28.05,-0.901,Bajo
07041,72.43,0.515,Alto
07081,72.89,1.564,Muy alto
07093,81.4,1.266,Muy alto
07094,83.33,1.097,Alto
07102,63.93,0.298,Alto
07092,77.28,0.788,Alto
07111,84.44,1.692,Muy alto
07009,63.41,-0.27,Medio
07026,73.76,1.958,Muy alto
07079,55.82,0.22,Alto
07046,74.06,0.28,Alto
07087,70.72,0.581,Alto
07109,69.01,1.347,Muy alto
07080,88.05,0.992,Alto
07037,64.34,0.513,Alto
07013,77.88,0.658,Alto
07112,77.44,2.6,Muy alto
07030,71.38,0.789,Alto
07100,56.22,1.557,Muy alto
07004,80.61,1.412,Muy alto
07072,58.4,0.849,Alto
07032,70.29,0.314,Alto
07103,78.09,0.616,Alto
07002,64.08,0.276,Alto
07068,63.53,0.123,Alto
07006,70.58,0.508,Alto
07054,76.81,0.822,Alto
07071,71.95,0.73,Alto
07003,71.56,0.739,Alto
07075,80.74,1.394,Muy alto
07008,73.48,0.72,Alto
07044,74.69,0.483,Alto
07076,89.33,1.872,Muy alto
07086,58.23,0.026,Medio
07049,83.83,1.206,Alto
07038,63.75,1.024,Alto
07039,66.98,1.249,Muy alto
07014,82.35,1.261,Muy alto
07066,77.85,2.479,Muy alto
07021,71.16,0.403,Alto
07048,57.3,0.012,Medio
07047,72.06,0.776,Alto
07114,68.8,0.926,Alto
07011,68.79,0.644,Alto
07005,80.41,1.398,Muy alto
07083,78.68,0.862,Alto
07062,69.45,0.72,Alto
07001,66.74,0.237,Alto
07016,70.13,0.578,Alto
07022,84.9,2.853,Muy alto
07105,83.84,0.416,Alto
07104,82.92,0.535,Alto
07035,68.68,0.579,Alto
07070,83.7,0.484,Alto
07082,89.86,3.947,Muy alto
07115,89.87,1.689,Muy alto
07091,65.8,-0.018,Medio
07060,75.62,1.846,Muy alto
07024,47.75,1.475,Muy alto
07067,71.87,1.302,Muy alto
07056,78.8,2.121,Muy alto
07116,59.31,1.182,Alto
07042,83.39,0.49,Alto
07043,66.46,0.596,Alto
07085,69,0.292,Alto
07007,88.96,2.191,Muy alto
07073,50.39,0.509,Alto
07018,77.65,0.746,Alto
07084,78.19,0.863,Alto
07053,64.57,0.348,Alto
07117,82.23,1.01,Alto
07025,62.38,0.343,Alto
07010,76.84,1.08,Alto
07033,86.22,1.11,Alto
07098,82.87,1.435,Muy alto
07110,85.2,1.31,Muy alto
07036,62.2,0.482,Alto
07113,79.08,1.173,Alto
07028,77.29,1.005,Alto
07055,64.83,0.002,Medio
07045,74.49,0.845,Alto
07118,88.15,1.336,Muy alto
07029,44.15,-0.022,Medio
07050,76.25,0.323,Alto
07058,86.27,1.259,Muy alto
07090,49.12,0.444,Alto
07119,75.61,1.566,Muy alto
07063,66.67,0.019,Medio
07088,79.44,0.636,Alto
08037,42.69,-1.522,Muy bajo
08019,20.8,-1.909,Muy bajo
08017,24.88,-1.472,Muy bajo
08021,31.15,-1.587,Muy bajo
08032,33.76,-1.587,Muy bajo
08050,40.11,-1.57,Muy bajo
08029,55.72,2.217,Muy alto
08011,41.32,-1.402,Muy bajo
08027,55.23,2.36,Muy alto
08045,41.67,-1.24,Muy bajo
08036,39.94,-1.37,Muy bajo
08031,44.94,-0.513,Bajo
08062,29.75,-1.227,Muy bajo
08040,44.17,-0.833,Bajo
08052,24.65,-1.513,Muy bajo
08009,48.54,0.838,Alto
08005,40.43,-0.957,Bajo
08002,29.38,-1.495,Muy bajo
08010,44.56,-0.717,Bajo
08048,35.07,-0.938,Bajo
08065,56.74,3.264,Muy alto
08055,42.76,-0.962,Bajo
08007,53.77,2.369,Muy alto
08004,29.52,-1.467,Muy bajo
08001,37.67,-1.164,Muy bajo
08013,51.42,-0.969,Bajo
08008,62.15,5.027,Muy alto
08035,38.04,-0.89,Bajo
08060,24.31,-1.529,Muy bajo
08012,69.82,3.957,Muy alto
08025,51.35,-1.127,Muy bajo
08003,39.11,-0.954,Bajo
08054,24.14,-0.918,Bajo
08046,62.09,2.053,Muy alto
08051,22.36,-0.205,Medio
08020,40.29,0.686,Alto
08030,32.89,0.924,Alto
08034,54.68,-0.834,Bajo
08063,62.53,0.625,Alto
08006,39,-0.8,Bajo
08066,56.94,1.521,Muy alto
08023,36.93,-0.63,Bajo
08053,54.75,-0.637,Bajo
08028,46.46,-0.857,Bajo
08067,32.7,-0.75,Bajo
08047,43.05,0.191,Alto
08059,25.84,-1.088,Muy bajo
08018,43.81,-0.706,Bajo
08038,38.45,-0.785,Bajo
08044,45.78,-0.759,Bajo
08024,42.75,-0.822,Bajo
08039,44.42,-0.782,Bajo
08016,39.62,-1.007,Bajo
08061,40.76,-0.737,Bajo
08043,55.83,-0.649,Bajo
08049,51.22,0.096,Alto
08022,58.13,-0.492,Medio
08058,35.38,-1.157,Muy bajo
08026,48.47,-0.616,Bajo
08057,48.24,-0.378,Medio
08014,46.84,-0.821,Bajo
08056,59.66,-0.236,Medio
08064,58.22,-0.132,Medio
08015,32.28,-0.603,Bajo
08041,45.2,1.639,Muy alto
08042,36.89,-0.637,Bajo
08033,60,-0.307,Medio
09007,34.04,-1.627,Muy bajo
09005,31.03,-1.728,Muy bajo
09010,26.52,-1.779,Muy bajo
09012,28,-1.738,Muy bajo
09003,24.46,-1.994,Muy bajo
09015,24.81,-1.951,Muy bajo
09017,29.02,-1.811,Muy bajo
09014,12.67,-2.228,Muy bajo
09013,33.77,-1.527,Muy bajo
09002,25.97,-1.871,Muy bajo
09006,27.26,-1.885,Muy bajo
09016,15.42,-2.131,Muy bajo
09011,39.92,-1.537,Muy bajo
09008,28.51,-1.657,Muy bajo
09004,22.17,-1.822,Muy bajo
09009,44.85,-1.029,Bajo
10005,35.47,-1.585,Muy bajo
10007,31.48,-1.488,Muy bajo
10012,40.27,-1.215,Muy bajo
10023,41.83,0.106,Alto
10032,48.31,-0.676,Bajo
10014,44.45,4.845,Muy alto
10004,47.13,-0.728,Bajo
10008,51.98,-1.018,Bajo
10001,57.38,-0.822,Bajo
10039,54.23,-1.001,Bajo
10034,62.38,1.624,Muy alto
10013,44.76,-0.746,Bajo
10022,57.48,-0.846,Bajo
10036,51.36,-0.791,Bajo
10038,56.36,-1.117,Muy bajo
10016,54.51,-0.731,Bajo
10026,28.71,-0.26,Medio
10024,61.16,-0.521,Bajo
10015,61.38,-0.404,Medio
10028,48.59,-0.564,Bajo
10020,48.8,-0.761,Bajo
10018,37.97,-1.093,Muy bajo
10035,45.2,0.144,Alto
10021,59.5,-0.703,Bajo
10006,56.81,-0.113,Medio
10009,40.96,0.233,Alto
10017,49.22,-0.561,Bajo
10037,33.23,0.321,Alto
10031,68.53,-0.43,Medio
10033,59.89,-0.218,Medio
10027,66.33,0.126,Alto
10019,59.76,0.956,Alto
10011,59.17,-0.444,Medio
10002,32.46,0.45,Alto
10003,57.17,-0.419,Medio
10010,44.75,-0.689,Bajo
10025,46.51,-0.103,Medio
10029,52.4,-0.482,Medio
10030,58.22,-0.503,Bajo
11020,26.41,-1.494,Muy bajo
11017,36.98,-1.276,Muy bajo
11007,36.2,-1.386,Muy bajo
11027,35.26,-1.296,Muy bajo
11037,37.93,-0.785,Bajo
11015,27.32,-1.272,Muy bajo
11003,38.03,-0.611,Bajo
11014,52.41,-0.268,Medio
11023,52.67,-0.304,Medio
11042,54.84,-0.55,Bajo
11033,50.16,-0.246,Medio
11031,30.53,-1.064,Bajo
11030,54.81,-0.044,Medio
11002,49.83,-0.861,Bajo
11028,53.13,-0.639,Bajo
11011,45.24,-0.967,Bajo
11005,39.9,-0.803,Bajo
11001,62.51,-0.265,Medio
11035,56.98,-0.431,Medio
11009,50.68,-0.2,Medio
11025,27.69,-1.004,Bajo
11032,28.44,-0.914,Bajo
11046,59.05,-0.419,Medio
11004,42.77,-0.643,Bajo
11041,50.44,-1.005,Bajo
11026,54.2,-0.449,Medio
11044,40,-1.02,Bajo
11021,47.78,-1.197,Muy bajo
11019,60.89,-0.017,Medio
11029,66.17,0.27,Alto
11008,45.72,-0.425,Medio
11018,56.25,-0.795,Bajo
11039,53.08,-0.447,Medio
11012,59.69,-0.483,Medio
11013,47.33,-0.286,Medio
11022,63.36,-0.174,Medio
11016,67.39,-0.527,Bajo
11043,35.33,0.059,Medio
11040,49.68,0.413,Alto
11038,66.15,-0.574,Bajo
11010,56.14,-0.415,Medio
11024,55.71,-0.411,Medio
11045,57.08,0.677,Alto
11036,56.07,-0.388,Medio
11034,50.18,0.147,Alto
11006,34.75,0.627,Alto
12001,49.97,-0.768,Bajo
12029,34.38,-0.733,Bajo
12035,45.4,-0.58,Bajo
12028,69.69,1.791,Muy alto
12038,41.21,-0.637,Bajo
12055,62.51,-0.285,Medio
12066,58.45,0.619,Alto
12021,59.07,0.56,Alto
12012,69.9,2.075,Muy alto
12046,54.28,0.769,Alto
12057,44.33,0.102,Alto
12011,59.69,0.207,Alto
12058,62.46,0.604,Alto
12075,49.12,0.21,Alto
12053,62.84,0.915,Alto
12056,58.43,0.957,Alto
12048,48.23,-0.135,Medio
12052,61.63,2.066,Muy alto
12061,49.41,0.162,Alto
12022,44.78,1.324,Muy alto
12003,60.89,1.315,Muy alto
12050,46.69,-0.384,Medio
12032,59.57,1.806,Muy alto
12034,64.37,0.417,Alto
12076,70.64,2.632,Muy alto
12051,59.02,1.258,Muy alto
12059,67.13,0.582,Alto
12007,45.64,-0.14,Medio
12071,74.36,2.39,Muy alto
12054,64.92,2.583,Muy alto
12023,61.34,0.575,Alto
12010,67.22,2.295,Muy alto
12002,77.83,2.14,Muy alto
12068,41.47,0.437,Alto
12040,69.25,0.916,Alto
12041,62.61,1.665,Muy alto
12045,73.36,2.008,Muy alto
12039,59.13,0.078,Medio
12062,67.03,2.768,Muy alto
12074,82.88,1.862,Muy alto
12067,54.64,0.305,Alto
12030,55.84,0.446,Alto
12020,62.07,2.569,Muy alto
12027,58.61,1.02,Alto
12043,60.12,2.908,Muy alto
12004,76.35,2.554,Muy alto
12042,74.03,1.744,Muy alto
12078,76.86,4.744,Muy alto
12073,58.47,1.403,Muy alto
12079,75.12,3.324,Muy alto
12025,71.68,1.374,Muy alto
12014,50.46,-0.24,Medio
12033,65.73,0.129,Alto
12019,73.67,2.696,Muy alto
12013,61.16,1.066,Alto
12060,76.12,0.803,Alto
12018,59.45,0.351,Alto
12077,60.81,0.473,Alto
12017,50.15,0.156,Alto
12015,56.47,-0.526,Bajo
12049,68.43,-0.182,Medio
12044,55.69,0.184,Alto
12016,65.06,2.201,Muy alto
12064,57.36,0.199,Alto
12069,65.67,2.216,Muy alto
12036,67.4,1.275,Muy alto
12072,69.05,2.137,Muy alto
12006,48.78,0.154,Alto
12081,64.06,1.318,Muy alto
12063,44.54,2.196,Muy alto
12008,72.39,1.349,Muy alto
12026,64.7,1.366,Muy alto
12024,70.1,1.124,Alto
12080,54.61,0.983,Alto
12065,75.53,1.271,Muy alto
12070,71.41,0.935,Alto
12047,89.51,2.494,Muy alto
12005,75.04,0.558,Alto
12037,69.44,0.856,Alto
12031,69.41,1.197,Alto
12009,46.76,2.17,Muy alto
13048,33.38,-1.675,Muy bajo
13077,45.36,-1.117,Muy bajo
13051,28.55,-1.524,Muy bajo
13028,62.14,-0.07,Medio
13069,32.48,-1.473,Muy bajo
13076,31.53,-1.38,Muy bajo
13030,58.22,-0.699,Bajo
13063,30.79,-1.086,Muy bajo
13016,56.76,-0.299,Medio
13003,49.46,-0.994,Bajo
13061,36.57,-1.487,Muy bajo
13067,53.79,-0.595,Bajo
13041,48.32,-1.086,Muy bajo
13029,48.13,-0.66,Bajo
13083,41.19,-1.019,Bajo
13008,49.61,-1.035,Bajo
13002,68.21,0.668,Alto
13084,52.19,-0.446,Medio
13073,66.03,0.59,Alto
13046,68.22,0.162,Alto
13013,27.88,-1.251,Muy bajo
13059,66.7,-0.033,Medio
13056,41.96,-1.056,Bajo
13052,36.84,-0.86,Bajo
13023,46.57,-1.068,Bajo
13054,56.91,-0.641,Bajo
13081,57.61,-0.658,Bajo
13062,62.49,1.229,Alto
13010,25.76,-1.451,Muy bajo
13074,39.86,-1.168,Muy bajo
13012,60.65,-0.222,Medio
13027,64.2,1.486,Muy alto
13080,69.97,1.367,Muy alto
13018,63.98,0.285,Alto
13050,42.51,-1.284,Muy bajo
13025,60.88,0.389,Alto
13001,49.54,0.08,Medio
13006,70.36,0.047,Medio
13037,74.12,0.313,Alto
13011,71.15,0.482,Alto
13078,59.35,1.296,Muy alto
13070,50.25,-0.907,Bajo
13053,60.54,1.201,Alto
13009,47.59,-0.65,Bajo
13060,59.71,0.35,Alto
13082,51.68,-0.948,Bajo
13015,54.6,-0.233,Medio
13005,42.81,-0.88,Bajo
13019,58.59,-0.296,Medio
13024,52.02,-0.207,Medio
13049,66.72,0.699,Alto
13014,65.25,0.389,Alto
13055,61.56,-0.436,Medio
13044,59.57,-0.139,Medio
13075,47.55,-1.094,Muy bajo
13058,63.14,-0.215,Medio
13057,51.49,-0.111,Medio
13068,68.59,0.951,Alto
13021,38.15,-1.279,Muy bajo
13022,41.89,-0.883,Bajo
13039,43.28,-1.204,Muy bajo
13026,67.12,0.447,Alto
13017,74.72,0.272,Alto
13031,59.19,0.113,Alto
13066,41.95,-0.975,Bajo
13007,52.23,-0.325,Medio
13032,72.55,0.044,Medio
13035,57.05,-0.277,Medio
13065,40.5,-1.176,Muy bajo
13042,59.48,-0.041,Medio
13064,37.92,-0.747,Bajo
13071,51.94,0.339,Alto
13072,37.63,-1.442,Muy bajo
13040,61.13,1.035,Alto
13045,55.13,-0.147,Medio
13034,60.22,0.564,Alto
13036,73.23,-0.053,Medio
13004,57.12,0.144,Alto
13038,53.86,0.087,Alto
13079,69.2,0.08,Medio
13043,69.57,0.321,Alto
13047,54.66,0.381,Alto
13033,59.17,-0.025,Medio
13020,70.5,0.062,Medio
14039,26.12,-1.862,Muy bajo
14120,21.95,-1.795,Muy bajo
14098,30.64,-1.495,Muy bajo
14097,25.6,-1.554,Muy bajo
14101,31.44,-1.459,Muy bajo
14067,24.61,-1.639,Muy bajo
14070,30.98,-1.24,Muy bajo
14053,44.13,-0.939,Bajo
14093,28.84,-1.371,Muy bajo
14023,31.35,-1.604,Muy bajo
14063,34.68,-1.355,Muy bajo
14083,31.65,-1.241,Muy bajo
14008,34.01,-1.096,Muy bajo
14073,35.32,-1.121,Muy bajo
14124,29.19,-0.969,Bajo
14018,37.23,-1.071,Bajo
14006,34,-1.176,Muy bajo
14015,30.77,-1.288,Muy bajo
14013,25.61,-1.17,Muy bajo
14035,41.88,-0.815,Bajo
14044,26.12,-1.202,Muy bajo
14066,44.12,-0.659,Bajo
14030,33.78,-1.341,Muy bajo
14050,25.74,-1.023,Bajo
14094,39.27,-1.086,Muy bajo
14022,34.25,-0.84,Bajo
14091,45.71,-0.788,Bajo
14085,31.32,-1.04,Bajo
14016,43.9,-0.688,Bajo
14082,39.61,-1.257,Muy bajo
14100,25.6,-0.546,Bajo
14108,42.38,-1.06,Bajo
14046,40.03,-1.061,Bajo
14078,40.29,-1.059,Bajo
14064,45.76,-0.543,Bajo
14121,38.14,-1.176,Muy bajo
14119,44.27,-0.898,Bajo
14077,35.36,-0.982,Bajo
14024,38.44,-1.025,Bajo
14047,42,-0.992,Bajo
14043,35.76,-0.71,Bajo
14037,31.74,-1.355,Muy bajo
14003,33.41,-1.325,Muy bajo
14105,31.35,-0.926,Bajo
14055,38.96,-1.038,Bajo
14118,41.7,-0.879,Bajo
14002,26.34,-1.392,Muy bajo
14021,36.12,-0.841,Bajo
14001,31.61,-0.824,Bajo
14033,36.27,-0.81,Bajo
14096,56.18,-0.71,Bajo
14116,38.02,-1.127,Muy bajo
14009,29.31,-1.265,Muy bajo
14036,35.55,-1.255,Muy bajo
14086,29.04,-0.577,Bajo
14048,43.49,-0.677,Bajo
14061,51.26,3.03,Muy alto
14045,37.83,-0.616,Bajo
14125,31.93,-0.812,Bajo
14027,44.53,0.815,Alto
14029,46.19,-0.333,Medio
14051,30.33,-1.363,Muy bajo
14109,41.09,-0.606,Bajo
14123,43.32,-0.484,Medio
14025,42.45,-1.181,Muy bajo
14114,38.8,-0.896,Bajo
14088,41.17,-1.011,Bajo
14087,38.58,-0.865,Bajo
14113,41.56,-0.493,Medio
14074,36.57,-1.196,Muy bajo
14005,39.28,-1.12,Muy bajo
